pseudobulk,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,xmin,xmax
B.NAIVE,mean.CDI,HV,CM,10,12,-0.8184581097898392,0.4130956522738599,0.9028299290345583,ns,1,2
B.NAIVE,mean.CDI,HV,CS,10,20,-0.38311056627886525,0.7016377854865867,0.9064743439493365,ns,1,3
B.NAIVE,mean.CDI,HV,CC,10,18,-1.3404834456659798,0.1800882227598787,0.9028299290345583,ns,1,4
B.NAIVE,mean.CDI,HV,CComm,10,12,-0.11748674917369221,0.9064743439493365,0.9064743439493365,ns,1,5
B.NAIVE,mean.CDI,HV,Sepsis,10,12,-0.9468049786350486,0.34373816437211063,0.9028299290345583,ns,1,6
B.NAIVE,mean.CDI,CM,CS,12,20,0.5533770851883834,0.5800052265609585,0.9064743439493365,ns,2,3
B.NAIVE,mean.CDI,CM,CC,12,18,-0.4782975564814919,0.6324384352931753,0.9064743439493365,ns,2,4
B.NAIVE,mean.CDI,CM,CComm,12,12,0.7351849653280852,0.4622268541588373,0.9028299290345583,ns,2,5
B.NAIVE,mean.CDI,CM,Sepsis,12,12,-0.13461133167978956,0.8929191817744099,0.9064743439493365,ns,2,6
B.NAIVE,mean.CDI,CS,CC,20,18,-1.1705870763737387,0.24176479454248434,0.9028299290345583,ns,3,4
B.NAIVE,mean.CDI,CS,CComm,20,12,0.2685846940663288,0.7882492919996633,0.9064743439493365,ns,3,5
B.NAIVE,mean.CDI,CS,Sepsis,20,12,-0.7038771292772736,0.48150929548509774,0.9028299290345583,ns,3,6
B.NAIVE,mean.CDI,CC,CComm,18,12,1.2836523353791833,0.19926362902877143,0.9028299290345583,ns,4,5
B.NAIVE,mean.CDI,CC,Sepsis,18,12,0.33083823076783087,0.7407666814823723,0.9064743439493365,ns,4,6
B.NAIVE,mean.CDI,CComm,Sepsis,12,12,-0.8697962970078748,0.3844117354877855,0.9028299290345583,ns,5,6
B.INT,mean.CDI,HV,CM,10,12,0.014038905278534066,0.9887989421665819,0.9909140009916244,ns,1,2
B.INT,mean.CDI,HV,CS,10,20,1.2638197774978663,0.20629472084117567,0.38680260157720436,ns,1,3
B.INT,mean.CDI,HV,CC,10,17,0.025857095881909663,0.9793713211202665,0.9909140009916244,ns,1,4
B.INT,mean.CDI,HV,CComm,10,12,-1.4801017279368711,0.1388461005139345,0.3658773580139272,ns,1,5
B.INT,mean.CDI,HV,Sepsis,10,11,-0.330180862865206,0.741263305971954,0.9265791324649425,ns,1,6
B.INT,mean.CDI,CM,CS,12,20,1.3240212266573461,0.18549599515910634,0.38680260157720436,ns,2,3
B.INT,mean.CDI,CM,CC,12,17,0.011387857139840958,0.9909140009916244,0.9909140009916244,ns,2,4
B.INT,mean.CDI,CM,CComm,12,12,-1.56706791652687,0.11709881749108628,0.3658773580139272,ns,2,5
B.INT,mean.CDI,CM,Sepsis,12,11,-0.3600120335532401,0.7188381346371562,0.9265791324649425,ns,2,6
B.INT,mean.CDI,CS,CC,20,17,-1.452542059655597,0.14635094320557088,0.3658773580139272,ns,3,4
B.INT,mean.CDI,CS,CComm,20,12,-3.07605642001387,0.00209758149996199,0.03146372249942985,*,3,5
B.INT,mean.CDI,CS,Sepsis,20,11,-1.6882733946733262,0.09135875995053593,0.3658773580139272,ns,3,6
B.INT,mean.CDI,CC,CComm,17,12,-1.7081785709760953,0.08760321343470102,0.3658773580139272,ns,4,5
B.INT,mean.CDI,CC,Sepsis,17,11,-0.39945716359202355,0.689556381050575,0.9265791324649425,ns,4,6
B.INT,mean.CDI,CComm,Sepsis,12,11,1.1726106235734115,0.24095198723433717,0.40158664539056194,ns,5,6
B.MEM,mean.CDI,HV,CM,10,11,0.8532341084452256,0.3935294920099534,0.8787364567022566,ns,1,2
B.MEM,mean.CDI,HV,CS,10,19,0.46154626731554044,0.6444067349149882,0.8787364567022566,ns,1,3
B.MEM,mean.CDI,HV,CC,10,16,0.17974382922798116,0.8573536830188851,0.9185932318059483,ns,1,4
B.MEM,mean.CDI,HV,CComm,10,12,-0.6600547490340343,0.509218696010828,0.8787364567022566,ns,1,5
B.MEM,mean.CDI,HV,Sepsis,10,12,-0.04265659942736907,0.9659752766953744,0.9659752766953744,ns,1,6
B.MEM,mean.CDI,CM,CS,11,19,-0.5080600410894963,0.6114112372003637,0.8787364567022566,ns,2,3
B.MEM,mean.CDI,CM,CC,11,16,-0.7668295687005338,0.4431828535588529,0.8787364567022566,ns,2,4
B.MEM,mean.CDI,CM,CComm,11,12,-1.5701638448369666,0.11637699848824866,0.8787364567022566,ns,2,5
B.MEM,mean.CDI,CM,Sepsis,11,12,-0.9368644274193899,0.34882829936710935,0.8787364567022566,ns,2,6
B.MEM,mean.CDI,CS,CC,19,16,-0.3178807672056644,0.750575382045807,0.9185932318059483,ns,3,4
B.MEM,mean.CDI,CS,CComm,19,12,-1.2554731141967002,0.2093070621519682,0.8787364567022566,ns,3,5
B.MEM,mean.CDI,CS,Sepsis,19,12,-0.5385499424286389,0.5901974356106161,0.8787364567022566,ns,3,6
B.MEM,mean.CDI,CC,CComm,16,12,-0.9298062133549092,0.35247142871697434,0.8787364567022566,ns,4,5
B.MEM,mean.CDI,CC,Sepsis,16,12,-0.2375647008740966,0.8122187313723774,0.9185932318059483,ns,4,6
B.MEM,mean.CDI,CComm,Sepsis,12,12,0.6475326421513494,0.5172872754849529,0.8787364567022566,ns,5,6
PB,mean.CDI,HV,CM,10,12,1.8722578863131871,0.06117093407862389,0.13108057302562262,ns,1,2
PB,mean.CDI,HV,CS,10,20,3.62721581184722,2.8649382713719226e-4,0.0042974074070578835,**,1,3
PB,mean.CDI,HV,CC,10,18,3.0869411893785377,0.002022276018312119,0.007583535068670447,**,1,4
PB,mean.CDI,HV,CComm,10,12,0.34604940880418095,0.7293055830494639,0.7813988389815685,ns,1,5
PB,mean.CDI,HV,Sepsis,10,11,0.4030975922561353,0.6868764318036222,0.7813988389815685,ns,1,6
PB,mean.CDI,CM,CS,12,20,1.6518263719720874,0.09856995097103027,0.18240528245113272,ns,2,3
PB,mean.CDI,CM,CC,12,18,1.1158509359108257,0.26448594653632884,0.3606626543677211,ns,2,4
PB,mean.CDI,CM,CComm,12,12,-1.6007009553637412,0.10944316947067963,0.18240528245113272,ns,2,5
PB,mean.CDI,CM,Sepsis,12,11,-1.4985424536124445,0.13399237124096713,0.2009885568614507,ns,2,6
PB,mean.CDI,CS,CC,20,18,-0.5765237650619508,0.5642612113006991,0.7053265141258738,ns,3,4
PB,mean.CDI,CS,CComm,20,12,-3.4414644458931787,5.785745008140144e-4,0.004339308756105108,**,3,5
