pseudobulk,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,xmin,xmax
B.NAIVE,mean.CEI,HV,CM,10,12,-0.8617143181362242,0.3888447445135061,0.6391431408056197,ns,1,2
B.NAIVE,mean.CEI,HV,CS,10,20,-0.3334313581357266,0.7388086957397315,0.8469866792597915,ns,1,3
B.NAIVE,mean.CEI,HV,CC,10,18,0.2656342559921744,0.7905209006424722,0.8469866792597915,ns,1,4
B.NAIVE,mean.CEI,HV,CComm,10,12,-0.8856508269733416,0.37580571359200554,0.6391431408056197,ns,1,5
B.NAIVE,mean.CEI,HV,Sepsis,10,12,0.8776719906943022,0.38012174881295036,0.6391431408056197,ns,1,6
B.NAIVE,mean.CEI,CM,CS,12,20,0.6567922429658928,0.5113145126444958,0.6391431408056197,ns,2,3
B.NAIVE,mean.CEI,CM,CC,12,18,1.2711552492124534,0.20367342332968896,0.6110202699890669,ns,2,4
B.NAIVE,mean.CEI,CM,CComm,12,12,-0.025104822262671692,0.979971353786402,0.979971353786402,ns,2,5
B.NAIVE,mean.CEI,CM,Sepsis,12,12,1.824283751087476,0.06810918564578367,0.5108188923433775,ns,2,6
B.NAIVE,mean.CEI,CS,CC,20,18,0.7199443167049328,0.47155928059090435,0.6391431408056197,ns,3,4
B.NAIVE,mean.CEI,CS,CComm,20,12,-0.6848602875370848,0.4934320877722749,0.6391431408056197,ns,3,5
B.NAIVE,mean.CEI,CS,Sepsis,20,12,1.3828189958740584,0.1667203728923176,0.6110202699890669,ns,3,6
B.NAIVE,mean.CEI,CC,CComm,18,12,-1.2986562041232996,0.1940619403733735,0.6110202699890669,ns,4,5
B.NAIVE,mean.CEI,CC,Sepsis,18,12,0.7272474743090472,0.4670743685577277,0.6391431408056197,ns,4,6
B.NAIVE,mean.CEI,CComm,Sepsis,12,12,1.8493885733501478,0.06440172421459944,0.5108188923433775,ns,5,6
B.INT,mean.CEI,HV,CM,10,12,0.9839412639316523,0.3251443933123666,0.6466697385581373,ns,1,2
B.INT,mean.CEI,HV,CS,10,20,0.9811775446277262,0.32650519566551117,0.6466697385581373,ns,1,3
B.INT,mean.CEI,HV,CC,10,17,0.9445463516469168,0.34489052723100655,0.6466697385581373,ns,1,4
B.INT,mean.CEI,HV,CComm,10,12,-0.2827605293358397,0.7773604130385983,0.9749669409459165,ns,1,5
