COMBAT_ID_Time,pseudobulk,variable,value
G05061-Ja005,B.NAIVE,IGHA1,0
G05061-Ja005,B.INT,IGHA1,0.011494252873563218
G05061-Ja005,B.MEM,IGHA1,0.2033898305084746
G05061-Ja005,PB,IGHA1,0.15789473684210525
G05064-Ja005,B.NAIVE,IGHA1,0
G05064-Ja005,B.INT,IGHA1,0.019230769230769232
G05064-Ja005,B.MEM,IGHA1,0.43103448275862066
G05064-Ja005,PB,IGHA1,0.375
G05073-Ja005,B.NAIVE,IGHA1,0
G05073-Ja005,B.INT,IGHA1,0.017857142857142856
G05073-Ja005,B.MEM,IGHA1,0.2097902097902098
G05073-Ja005,PB,IGHA1,0.35294117647058826
G05077-Ja005,B.NAIVE,IGHA1,0
G05077-Ja005,B.INT,IGHA1,0.06382978723404255
G05077-Ja005,B.MEM,IGHA1,0.2916666666666667
G05077-Ja005,PB,IGHA1,0.13793103448275862
G05078-Ja005,B.NAIVE,IGHA1,0
G05078-Ja005,B.INT,IGHA1,0
G05078-Ja005,B.MEM,IGHA1,0.2727272727272727
G05078-Ja005,PB,IGHA1,0.21428571428571427
G05097-Ja005,B.NAIVE,IGHA1,0
G05097-Ja005,B.INT,IGHA1,0.009708737864077669
G05097-Ja005,B.MEM,IGHA1,0.35294117647058826
G05097-Ja005,PB,IGHA1,0.17857142857142858
G05105-Ja005,B.NAIVE,IGHA1,0
G05105-Ja005,B.INT,IGHA1,0
G05105-Ja005,B.MEM,IGHA1,0.1724137931034483
G05105-Ja005,PB,IGHA1,0.22727272727272727
G05112-Ja005,B.NAIVE,IGHA1,0
G05112-Ja005,B.INT,IGHA1,0
G05112-Ja005,B.MEM,IGHA1,0.2926829268292683
G05112-Ja005,PB,IGHA1,0.47619047619047616
G05145-Ja005,B.NAIVE,IGHA1,0
G05145-Ja005,B.INT,IGHA1,0
G05145-Ja005,B.MEM,IGHA1,0.24489795918367346
G05145-Ja005,PB,IGHA1,0.25
G05153-Ja005,B.NAIVE,IGHA1,0
G05153-Ja005,B.INT,IGHA1,0
G05153-Ja005,B.MEM,IGHA1,0.4583333333333333
G05153-Ja005,PB,IGHA1,0.26666666666666666
