.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,y.position,xmin,xmax,fold_change,condition
IGHV1-18,HV,CM,10,12,-0.7295922996362058,0.4656394304959995,0.7760657174933325,ns,0.11392,1,2,1.1340331349443182,HV vs CM-IGHV1-18
IGHV1-18,HV,CS,10,20,0.13701767854142105,0.8910168214464378,0.9590532938767062,ns,0.12213333333333333,1,3,0.9421135791667405,HV vs CS-IGHV1-18
IGHV1-18,HV,CC,10,18,0.0259506906013541,0.9792966683893058,0.9792966683893058,ns,0.13034666666666667,1,4,0.9234275087748884,HV vs CC-IGHV1-18
IGHV1-18,HV,CComm,10,12,0.28373033874741393,0.7766170428224909,0.9590532938767062,ns,0.13856,1,5,0.9371810684532362,HV vs CComm-IGHV1-18
IGHV1-18,HV,Sepsis,10,14,-2.226190134103405,0.026001448524660752,0.09750543196747782,ns,0.15498666666666666,1,6,1.7657234889739217,HV vs Sepsis-IGHV1-18
IGHV1-18,CM,CS,12,20,1.0008519995734855,0.3168983656020612,0.6790679262901311,ns,0.1714133333333333,2,3,0.8307637141599032,CM vs CS-IGHV1-18
IGHV1-18,CM,CC,12,18,0.8657013638110114,0.38665395193556,0.7249761598791751,ns,0.17962666666666666,2,4,0.8142861794071206,CM vs CC-IGHV1-18
IGHV1-18,CM,CComm,12,12,1.0627817491878633,0.28788093799373865,0.6790679262901311,ns,0.18784,2,5,0.8264141845372556,CM vs CComm-IGHV1-18
IGHV1-18,CM,Sepsis,12,14,-1.5489089562329426,0.12140360764800921,0.3642108229440276,ns,0.20426666666666665,2,6,1.5570298914243101,CM vs Sepsis-IGHV1-18
IGHV1-18,CS,CC,20,18,-0.131832970295186,0.8951164076182592,0.9590532938767062,ns,0.22069333333333332,3,4,0.9801657986838709,CS vs CC-IGHV1-18
IGHV1-18,CS,CComm,20,12,0.1873741186416117,0.8513673135461124,0.9590532938767062,ns,0.22890666666666665,3,5,0.9947644203177001,CS vs CComm-IGHV1-18
IGHV1-18,CS,Sepsis,20,14,-2.797394665259915,0.005151656221529467,0.0445717713296984,*,0.24533333333333332,3,6,1.8742150925535213,CS vs Sepsis-IGHV1-18
IGHV1-18,CC,CComm,18,12,0.29851771165896945,0.7653080600628782,0.9590532938767062,ns,0.26176,4,5,1.0148940328803877,CC vs CComm-IGHV1-18
IGHV1-18,CC,Sepsis,18,14,-2.6153213456662345,0.00891435426593968,0.0445717713296984,*,0.2781866666666667,4,6,1.9121408797064186,CC vs Sepsis-IGHV1-18
IGHV1-18,CComm,Sepsis,12,14,-2.6518096997164933,0.008006165159935462,0.0445717713296984,*,0.3028266666666667,5,6,1.884079340066213,CComm vs Sepsis-IGHV1-18
IGHV1-2,HV,CM,10,12,0.1730361642779289,0.8626230013771599,0.924238930046957,ns,0.69824,1,2,1.0995720138918341,HV vs CM-IGHV1-2
IGHV1-2,HV,CS,10,20,1.2098348784224504,0.22634225972054126,0.4850191279725884,ns,0.7700444444444444,1,3,0.4782597498241187,HV vs CS-IGHV1-2
IGHV1-2,HV,CC,10,18,-0.6949944045179977,0.48705880819710307,0.6301105831493127,ns,0.8418488888888889,1,4,1.2356071569622358,HV vs CC-IGHV1-2
IGHV1-2,HV,CComm,10,12,-1.5417366348727164,0.12313760562830724,0.3689787344634097,ns,0.9136533333333333,1,5,1.87383789880525,HV vs CComm-IGHV1-2
IGHV1-2,HV,Sepsis,10,14,-0.08705360787742517,0.9306289008783348,0.9306289008783348,ns,1.057262222222222,1,6,1.0281212695649007,HV vs Sepsis-IGHV1-2
IGHV1-2,CM,CS,12,20,1.0803207819856275,0.279999358458446,0.5004865234921608,ns,1.2008711111111112,2,3,0.43495082066645385,CM vs CS-IGHV1-2
IGHV1-2,CM,CC,12,18,-0.9343163599366604,0.35014072774294674,0.5252110916144201,ns,1.2726755555555556,2,4,1.1237164472647112,CM vs CC-IGHV1-2
IGHV1-2,CM,CComm,12,12,-1.7984688843506949,0.07210273523453194,0.36051367617265967,ns,1.34448,2,5,1.7041520474616052,CM vs CComm-IGHV1-2
IGHV1-2,CM,Sepsis,12,14,-0.2799539046278532,0.7795128700662058,0.8994379269994682,ns,1.488088888888889,2,6,0.9350194953816257,CM vs Sepsis-IGHV1-2
IGHV1-2,CS,CC,20,18,-2.2859101065481995,0.022259518072500272,0.16694638554375205,ns,1.6316977777777777,3,4,2.583548286086449,CS vs CC-IGHV1-2
IGHV1-2,CS,CComm,20,12,-3.0910701223988086,0.0019943652926320775,0.029915479389481164,*,1.7035022222222223,3,5,3.918033870703857,CS vs CComm-IGHV1-2
IGHV1-2,CS,Sepsis,20,14,-1.4480913879110704,0.14759149378536388,0.3689787344634097,ns,1.8471111111111111,3,6,2.1497131421638453,CS vs Sepsis-IGHV1-2
IGHV1-2,CC,CComm,18,12,-1.0358075939233906,0.3002919140952965,0.5004865234921608,ns,1.99072,4,5,1.5165320856607183,CC vs CComm-IGHV1-2
IGHV1-2,CC,Sepsis,18,14,0.6680706957112899,0.5040884665194502,0.6301105831493127,ns,2.1343288888888887,4,6,0.8320777876461616,CC vs Sepsis-IGHV1-2
IGHV1-2,CComm,Sepsis,12,14,1.5864054595578345,0.11264736275025893,0.3689787344634097,ns,2.349742222222222,5,6,0.5486714033377305,CComm vs Sepsis-IGHV1-2
IGHV1-24,HV,CM,10,12,1.0834786175239122,0.27859603675072764,0.7360060078366344,ns,0.14168,1,2,0.7154895328452522,HV vs CM-IGHV1-24
IGHV1-24,HV,CS,10,20,1.7980395750009812,0.0721707365657148,0.6843809039222287,ns,0.15586666666666665,1,3,0.5360907865412637,HV vs CS-IGHV1-24
IGHV1-24,HV,CC,10,18,0.5651176503887085,0.5719937438819083,0.7799914689298748,ns,0.17005333333333333,1,4,0.5214309661840487,HV vs CC-IGHV1-24
IGHV1-24,HV,CComm,10,12,1.3330921219210694,0.18250157437926098,0.6843809039222287,ns,0.18424,1,5,0.6473395950502348,HV vs CComm-IGHV1-24
IGHV1-24,HV,Sepsis,10,14,0.38236273132635257,0.7021923300986904,0.843353692192519,ns,0.21261333333333332,1,6,0.8310445240380331,HV vs Sepsis-IGHV1-24
IGHV1-24,CM,CS,12,20,0.6366176687209928,0.5243739134415251,0.7799914689298748,ns,0.24098666666666665,2,3,0.7492643315261619,CM vs CS-IGHV1-24
IGHV1-24,CM,CC,12,18,-0.6467578531414392,0.5177886738345117,0.7799914689298748,ns,0.2551733333333333,2,4,0.7287751144457694,CM vs CC-IGHV1-24
IGHV1-24,CM,CComm,12,12,0.2617968520344976,0.7934780661626871,0.8501550708885933,ns,0.26936,2,5,0.9047506152549725,CM vs CComm-IGHV1-24
IGHV1-24,CM,Sepsis,12,14,-0.776833378003629,0.4372570813998496,0.7799914689298748,ns,0.2977333333333333,2,6,1.161504796210308,CM vs Sepsis-IGHV1-24
IGHV1-24,CS,CC,20,18,-1.457378628686518,0.145011893046804,0.6843809039222287,ns,0.32610666666666666,3,4,0.9726542206558019,CS vs CC-IGHV1-24
IGHV1-24,CS,CComm,20,12,-0.3439198899986974,0.7309065332335165,0.843353692192519,ns,0.34029333333333334,3,5,1.2075185981589482,CS vs CComm-IGHV1-24
IGHV1-24,CS,Sepsis,20,14,-1.544094635509508,0.12256540825522584,0.6843809039222287,ns,0.36866666666666664,3,6,1.5501936330593258,CS vs Sepsis-IGHV1-24
IGHV1-24,CC,CComm,18,12,0.9335419358277124,0.35054022882967784,0.7511576332064525,ns,0.39703999999999995,4,5,1.241467494321663,CC vs CComm-IGHV1-24
IGHV1-24,CC,Sepsis,18,14,-0.18120527522566685,0.8562064541166992,0.8562064541166992,ns,0.4254133333333333,4,6,1.5937766989939386,CC vs Sepsis-IGHV1-24
IGHV1-24,CComm,Sepsis,12,14,-1.0485128107480672,0.29440240313465377,0.7360060078366344,ns,0.46797333333333335,5,6,1.2837844778729202,CComm vs Sepsis-IGHV1-24
IGHV1-3,HV,CM,10,12,-1.2123036513436796,0.22539616669786697,0.6761885000936009,ns,0.04988,1,2,1.7859097741417154,HV vs CM-IGHV1-3
IGHV1-3,HV,CS,10,20,-0.7838391576353179,0.4331344940152994,0.7569272627770415,ns,0.052866666666666666,1,3,1.3708210221377235,HV vs CS-IGHV1-3
IGHV1-3,HV,CC,10,18,0.240944306842988,0.809598281617175,0.809598281617175,ns,0.05585333333333333,1,4,1.0232826181161485,HV vs CC-IGHV1-3
IGHV1-3,HV,CComm,10,12,0.593589093533563,0.5527869774811816,0.7569272627770415,ns,0.05884,1,5,0.9475029476311757,HV vs CComm-IGHV1-3
IGHV1-3,HV,Sepsis,10,14,-0.31527870932999746,0.7525500487974701,0.806303623711575,ns,0.06481333333333333,1,6,1.1417184283813928,HV vs Sepsis-IGHV1-3
IGHV1-3,CM,CS,12,20,0.5901650624032441,0.5550799927031638,0.7569272627770415,ns,0.07078666666666666,2,3,0.7675757431791436,CM vs CS-IGHV1-3
IGHV1-3,CM,CC,12,18,1.6478223406434664,0.09938913319846017,0.6332682638677962,ns,0.07377333333333333,2,4,0.5729755404961174,CM vs CC-IGHV1-3
IGHV1-3,CM,CComm,12,12,1.8940362896735343,0.05822019316750434,0.6332682638677962,ns,0.07676,2,5,0.5305435702016543,CM vs CComm-IGHV1-3
IGHV1-3,CM,Sepsis,12,14,0.9876504889656819,0.32332385024495547,0.703139505587595,ns,0.08273333333333333,2,6,0.6392923343118425,CM vs Sepsis-IGHV1-3
IGHV1-3,CS,CC,20,18,1.2268935891094144,0.21986258843462508,0.6761885000936009,ns,0.08870666666666666,3,4,0.7464742673120032,CS vs CC-IGHV1-3
IGHV1-3,CS,CComm,20,12,1.5274318853775086,0.12665365277355925,0.6332682638677962,ns,0.09169333333333332,3,5,0.6911937680628756,CS vs CComm-IGHV1-3
