variable,.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,fold_change,condition
IGHV1-18_IGHJ1,value,HV,CM,10,12,-2.157552884814898,0.030962611200962078,0.12298005078969163,ns,14.671293348077107,HV vs CM-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,HV,CS,10,20,-1.5157029094962213,0.12959449162594397,0.25966725380723116,ns,2.8717702969015018,HV vs CS-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,HV,CC,10,18,-0.7113693176165998,0.47685540706546475,0.5960692588318309,ns,2.0892995629627467,HV vs CC-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,HV,CComm,10,12,-2.1345879791755693,0.03279468021058443,0.12298005078969163,ns,9.404157771944885,HV vs CComm-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,HV,Sepsis,10,14,-2.6646283031586218,0.007707345921332988,0.11561018881999482,ns,Inf,HV vs Sepsis-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CM,CS,12,20,0.9223093050436387,0.3563672617838133,0.5053413895026603,ns,0.1957407727300259,CM vs CS-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CM,CC,12,18,1.725997020113509,0.08434794883631655,0.22300966341315928,ns,0.14240731974980111,CM vs CC-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CM,CComm,12,12,0.02408579623192086,0.9807841730019985,0.9807841730019985,ns,0.640990371389271,CM vs CComm-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CM,Sepsis,12,14,-0.4561589689527157,0.6482756683000817,0.6945810731786589,ns,Inf,CM vs Sepsis-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CS,CC,20,18,0.943268194346344,0.3455437399813221,0.5053413895026603,ns,0.7275301806753128,CS vs CC-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CS,CComm,20,12,-0.8953805662102471,0.37058368563528427,0.5053413895026603,ns,3.274690103902637,CS vs CComm-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CS,Sepsis,20,14,-1.4814406019703446,0.13848920203052328,0.25966725380723116,ns,Inf,CS vs Sepsis-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CC,CComm,18,12,-1.6996123522901172,0.08920386536526372,0.22300966341315928,ns,4.501105508589324,CC vs CComm-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CC,Sepsis,18,14,-2.3086767571600117,0.020961525052563816,0.12298005078969163,ns,Inf,CC vs Sepsis-IGHV1-18_IGHJ1
IGHV1-18_IGHJ1,value,CComm,Sepsis,12,14,-0.4811539809501255,0.63040706489975,0.6945810731786589,ns,Inf,CComm vs Sepsis-IGHV1-18_IGHJ1
IGHV1-18_IGHJ2,value,HV,CM,10,12,-0.8979480954684577,0.36921322187902206,0.7911711897407615,ns,2.098625862399467,HV vs CM-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,HV,CS,10,20,-1.451747799246638,0.14657174327015213,0.7911711897407615,ns,3.3488926243099693,HV vs CS-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,HV,CC,10,18,-0.562994133330707,0.5734388788177044,0.8286848293587395,ns,1.2170441567900672,HV vs CC-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,HV,CComm,10,12,-1.3731852490590057,0.16969476423128174,0.7911711897407615,ns,3.3693740092023354,HV vs CComm-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,HV,Sepsis,10,14,-1.458864658336273,0.14460236206210528,0.7911711897407615,ns,1.1886651013896834,HV vs Sepsis-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CM,CS,12,20,-0.48687359550774495,0.6263479118310148,0.8286848293587395,ns,1.5957549577136192,CM vs CS-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CM,CC,12,18,0.4358468309990567,0.6629478634869916,0.8286848293587395,ns,0.5799243107575915,CM vs CC-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CM,CComm,12,12,-0.4984329316649643,0.6181789302478629,0.8286848293587395,ns,1.605514384231383,CM vs CComm-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CM,Sepsis,12,14,-0.558083689944414,0.5767872374426148,0.8286848293587395,ns,0.5664016262673048,CM vs Sepsis-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CS,CC,20,18,1.047149284847619,0.2950307314972815,0.7911711897407615,ns,0.3634168942758611,CS vs CC-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CS,CComm,20,12,-0.0703913632059388,0.9438821653611059,0.9674271241863016,ns,1.0061158678972535,CS vs CComm-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CS,Sepsis,20,14,-0.11986204047340292,0.904592434940141,0.9674271241863016,ns,0.3549427332369621,CS vs Sepsis-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CC,CComm,18,12,-0.9818527511517205,0.32617239581510704,0.7911711897407615,ns,2.7684895329426675,CC vs CComm-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CC,Sepsis,18,14,-1.0719272381089444,0.2837527149084929,0.7911711897407615,ns,0.9766819837702249,CC vs Sepsis-IGHV1-18_IGHJ2
IGHV1-18_IGHJ2,value,CComm,Sepsis,12,14,-0.04083539194715227,0.9674271241863016,0.9674271241863016,ns,0.35278514588859416,CComm vs Sepsis-IGHV1-18_IGHJ2
IGHV1-18_IGHJ3,value,HV,CM,10,12,1.5452383744123845,0.12228861542217098,0.4585823078331412,ns,0.2766100448529703,HV vs CM-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,HV,CS,10,20,2.282463493423242,0.02246199043407553,0.16846492825556647,ns,0.16314469384134947,HV vs CS-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,HV,CC,10,18,2.3549002240606334,0.018527679778020438,0.16846492825556647,ns,0.24408964763699256,HV vs CC-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,HV,CComm,10,12,1.6288724101408898,0.10334003180786425,0.4585823078331412,ns,0.3268733614761685,HV vs CComm-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,HV,Sepsis,10,14,1.2708625580668045,0.20377754860823807,0.6113326458247142,ns,0.354089005153593,HV vs Sepsis-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CM,CS,12,20,0.6089655150085206,0.5425472969364324,0.8138209454046487,ns,0.5898003231519219,CM vs CS-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CM,CC,12,18,0.7168484129645822,0.4734676356573254,0.8138209454046487,ns,0.8824323345406213,CM vs CC-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CM,CComm,12,12,0.087716116680235,0.930102309740886,0.930102309740886,ns,1.1817118270231843,CM vs CComm-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CM,Sepsis,12,14,-0.3442937944901012,0.7306253506344587,0.8430292507320676,ns,1.2801017596515916,CM vs Sepsis-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CS,CC,20,18,0.13786337035166252,0.8903484001406753,0.930102309740886,ns,1.496154376153712,CS vs CC-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CS,CComm,20,12,-0.5108959151988662,0.6094239416160188,0.8291617045911983,ns,2.0035794838294736,CS vs CComm-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CS,Sepsis,20,14,-1.0268066144940131,0.30451153414057736,0.6525247160155229,ns,2.1703985389676714,CS vs Sepsis-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CC,CComm,18,12,-0.6207602214395426,0.5347573995119985,0.8138209454046487,ns,1.3391529081245221,CC vs CComm-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CC,Sepsis,18,14,-1.1297880728519716,0.2585655351491165,0.6464138378727913,ns,1.450651465891705,CC vs Sepsis-IGHV1-18_IGHJ3
IGHV1-18_IGHJ3,value,CComm,Sepsis,12,14,-0.43532111065924667,0.6633293636729587,0.8291617045911983,ns,1.0832605127396064,CComm vs Sepsis-IGHV1-18_IGHJ3
IGHV1-18_IGHJ4,value,HV,CM,10,12,-0.14356575400151206,0.8858433847973112,0.9517616555999191,ns,0.9820490188718084,HV vs CM-IGHV1-18_IGHJ4
IGHV1-18_IGHJ4,value,HV,CS,10,20,-1.0506435757586754,0.29342231957906756,0.6916723568465336,ns,1.1997027682627674,HV vs CS-IGHV1-18_IGHJ4
IGHV1-18_IGHJ4,value,HV,CC,10,18,-0.023152803458557854,0.9815283858877517,0.9815283858877517,ns,0.9281016666728398,HV vs CC-IGHV1-18_IGHJ4
