.y.,group1,group2,n1,n2,statistic,p,p.adj,p.adj.signif,y.position,xmin,xmax,fold_change,condition
IGKV1-12,HV,CM,10,12,-1.5816299516947805,0.11373407229308057,0.3264438579821183,ns,0.04516,1,2,1.333030959379695,HV vs CM-IGKV1-12
IGKV1-12,HV,CS,10,20,-2.192375946131924,0.028352372010666822,0.21264279008000117,ns,0.0474,1,3,1.4709409777645965,HV vs CS-IGKV1-12
IGKV1-12,HV,CC,10,18,-2.3700756611362768,0.01778444544286943,0.21264279008000117,ns,0.04964,1,4,1.524525048402992,HV vs CC-IGKV1-12
IGKV1-12,HV,CComm,10,12,-0.6579081711337581,0.5105971397756244,0.6524151701076621,ns,0.051879999999999996,1,5,1.1322274681581952,HV vs CComm-IGKV1-12
IGKV1-12,HV,Sepsis,10,14,-1.5118283188767598,0.1305775431928473,0.3264438579821183,ns,0.05635999999999999,1,6,1.2400107919657632,HV vs Sepsis-IGKV1-12
IGKV1-12,CM,CS,12,20,-0.470740334720743,0.6378261770029461,0.7359532811572455,ns,0.06083999999999999,2,3,1.1034559755829496,CM vs CS-IGKV1-12
IGKV1-12,CM,CC,12,18,-0.6910978468791158,0.48950405328677987,0.6524151701076621,ns,0.06308,2,4,1.1436531444944127,CM vs CC-IGKV1-12
IGKV1-12,CM,CComm,12,12,0.9688075766998873,0.332641205577404,0.6435953628877027,ns,0.06531999999999999,2,5,0.8493632201048499,CM vs CComm-IGKV1-12
IGKV1-12,CM,Sepsis,12,14,0.1302932575139672,0.8963344143226374,0.8963344143226374,ns,0.06979999999999999,2,6,0.9302190494831288,CM vs Sepsis-IGKV1-12
IGKV1-12,CS,CC,20,18,-0.2636771364642889,0.7920287146786749,0.8486021942985802,ns,0.07427999999999998,3,4,1.036428430133089,CS vs CC-IGKV1-12
IGKV1-12,CS,CComm,20,12,1.5539001340296377,0.12020823976529836,0.3264438579821183,ns,0.07651999999999999,3,5,0.7697300471422397,CS vs CComm-IGKV1-12
IGKV1-12,CS,Sepsis,20,14,0.6403699164701657,0.5219321360861298,0.6524151701076621,ns,0.08099999999999999,3,6,0.843005131212144,CS vs Sepsis-IGKV1-12
IGKV1-12,CC,CComm,18,12,1.7523733741600052,0.07970962670235604,0.3264438579821183,ns,0.08547999999999999,4,5,0.7426755430120705,CC vs CComm-IGKV1-12
IGKV1-12,CC,Sepsis,18,14,0.8666072902416834,0.3861572177326216,0.6435953628877027,ns,0.08995999999999998,4,6,0.8133751513395794,CC vs Sepsis-IGKV1-12
IGKV1-12,CComm,Sepsis,12,14,-0.8750858783728772,0.38152718017947457,0.6435953628877027,ns,0.09667999999999999,5,6,1.0951958213687398,CComm vs Sepsis-IGKV1-12
IGKV1-13,HV,CM,10,12,0.7263550607722303,0.46762113308087966,0.8629263745562635,ns,0.02456,1,2,0.5977259492031709,HV vs CM-IGKV1-13
IGKV1-13,HV,CS,10,20,0.5707384553705956,0.5681769471927118,0.8629263745562635,ns,0.026177777777777776,1,3,0.7044936039135697,HV vs CS-IGKV1-13
IGKV1-13,HV,CC,10,18,0.29977774084600844,0.7643466951393064,0.8629263745562635,ns,0.027795555555555553,1,4,1.0465371941338992,HV vs CC-IGKV1-13
IGKV1-13,HV,CComm,10,12,0.7463648420607213,0.4554470513976102,0.8629263745562635,ns,0.029413333333333333,1,5,0.46972691973070757,HV vs CComm-IGKV1-13
IGKV1-13,HV,Sepsis,10,14,-0.29975150416080987,0.7643667092560691,0.8629263745562635,ns,0.03264888888888889,1,6,1.3604221755025323,HV vs Sepsis-IGKV1-13
IGKV1-13,CM,CS,12,20,-0.24636725795366765,0.805397949585846,0.8629263745562635,ns,0.03588444444444444,2,3,1.1786230878092725,CM vs CS-IGKV1-13
IGKV1-13,CM,CC,12,18,-0.5172634896986796,0.604972237091778,0.8629263745562635,ns,0.03750222222222222,2,4,1.7508645818857937,CM vs CC-IGKV1-13
IGKV1-13,CM,CComm,12,12,0.02098643566531881,0.9832564760650997,0.9832564760650997,ns,0.039119999999999995,2,5,0.785856662835035,CM vs CComm-IGKV1-13
IGKV1-13,CM,Sepsis,12,14,-1.1060444759305739,0.2687072693138124,0.8629263745562635,ns,0.04235555555555555,2,6,2.27599651197361,CM vs Sepsis-IGKV1-13
IGKV1-13,CS,CC,20,18,-0.316449021583121,0.7516617133032677,0.8629263745562635,ns,0.04559111111111111,3,4,1.485516956179907,CS vs CC-IGKV1-13
IGKV1-13,CS,CComm,20,12,0.2698308063302071,0.7872904215510572,0.8629263745562635,ns,0.047208888888888884,3,5,0.6667582460952132,CS vs CComm-IGKV1-13
IGKV1-13,CS,Sepsis,20,14,-0.9904981861330813,0.32193067530264746,0.8629263745562635,ns,0.050444444444444445,3,6,1.9310639130649008,CS vs Sepsis-IGKV1-13
IGKV1-13,CC,CComm,18,12,0.5402529781297317,0.5890225815230357,0.8629263745562635,ns,0.05367999999999999,4,5,0.44883920262332155,CC vs CComm-IGKV1-13
IGKV1-13,CC,Sepsis,18,14,-0.6800729335972094,0.4964582815331003,0.8629263745562635,ns,0.05691555555555555,4,6,1.2999272105454411,CC vs Sepsis-IGKV1-13
IGKV1-13,CComm,Sepsis,12,14,-1.1278231294650716,0.25939462319929507,0.8629263745562635,ns,0.06176888888888889,5,6,2.896198021357721,CComm vs Sepsis-IGKV1-13
IGKV1-16,HV,CM,10,12,-0.34666810239641555,0.7288406764215725,0.9138455128916411,ns,0.12812,1,2,1.2056311335891425,HV vs CM-IGKV1-16
IGKV1-16,HV,CS,10,20,0.05438091997995867,0.9566316800082509,0.9566316800082509,ns,0.1406888888888889,1,3,1.078928739098706,HV vs CS-IGKV1-16
IGKV1-16,HV,CC,10,18,-0.20117203367877856,0.8405640583410328,0.9138455128916411,ns,0.1532577777777778,1,4,0.6977692345654876,HV vs CC-IGKV1-16
IGKV1-16,HV,CComm,10,12,0.22720814819224489,0.8202618920351752,0.9138455128916411,ns,0.16582666666666668,1,5,1.1053707272661422,HV vs CComm-IGKV1-16
IGKV1-16,HV,Sepsis,10,14,-0.5834327615802422,0.5596020085961271,0.9138455128916411,ns,0.19096444444444444,1,6,1.169142869664139,HV vs Sepsis-IGKV1-16
IGKV1-16,CM,CS,12,20,0.46418405865454515,0.6425158814555461,0.9138455128916411,ns,0.21610222222222222,2,3,0.89490782797451,CM vs CS-IGKV1-16
IGKV1-16,CM,CC,12,18,0.18539085761247046,0.8529224786988651,0.9138455128916411,ns,0.2286711111111111,2,4,0.5787584735708018,CM vs CC-IGKV1-16
IGKV1-16,CM,CComm,12,12,0.6018864893720981,0.5472496981693578,0.9138455128916411,ns,0.24124,2,5,0.9168398994271764,CM vs CComm-IGKV1-16
IGKV1-16,CM,Sepsis,12,14,-0.23673156475142915,0.8128650457531813,0.9138455128916411,ns,0.26637777777777777,2,6,0.9697351346457198,CM vs Sepsis-IGKV1-16
IGKV1-16,CS,CC,20,18,-0.30903994569761345,0.7572911407915205,0.9138455128916411,ns,0.29151555555555553,3,4,0.6467241155781764,CS vs CC-IGKV1-16
IGKV1-16,CS,CComm,20,12,0.208745493832813,0.8346469234467726,0.9138455128916411,ns,0.30408444444444443,3,5,1.0245076316991286,CS vs CComm-IGKV1-16
IGKV1-16,CS,Sepsis,20,14,-0.7536624317968867,0.45105194574849705,0.9138455128916411,ns,0.3292222222222222,3,6,1.0836145403270974,CS vs Sepsis-IGKV1-16
IGKV1-16,CC,CComm,18,12,0.47394275696091265,0.6355407279641325,0.9138455128916411,ns,0.35436,4,5,1.5841494186175673,CC vs CComm-IGKV1-16
IGKV1-16,CC,Sepsis,18,14,-0.4552309709860593,0.6489430814089207,0.9138455128916411,ns,0.37949777777777777,4,6,1.6755437353040987,CC vs Sepsis-IGKV1-16
IGKV1-16,CComm,Sepsis,12,14,-0.8613386932878927,0.3890515307503274,0.9138455128916411,ns,0.41720444444444443,5,6,1.0576929900755752,CComm vs Sepsis-IGKV1-16
IGKV1-17,HV,CM,10,12,-0.6800586555136564,0.4964673218085842,0.831190705699835,ns,0.037439999999999994,1,2,1.3468277222157732,HV vs CM-IGKV1-17
IGKV1-17,HV,CS,10,20,0.16812782193257242,0.8664827221471796,0.9224616630488139,ns,0.03893333333333333,1,3,0.9767844653167828,HV vs CS-IGKV1-17
IGKV1-17,HV,CC,10,18,-0.255690613264933,0.7981897438233017,0.9224616630488139,ns,0.04042666666666666,1,4,1.0562779416539592,HV vs CC-IGKV1-17
IGKV1-17,HV,CComm,10,12,0.7783240117002624,0.4363780233769018,0.831190705699835,ns,0.04191999999999999,1,5,0.8111094378485769,HV vs CComm-IGKV1-17
IGKV1-17,HV,Sepsis,10,14,0.23918740722225607,0.8109602668900668,0.9224616630488139,ns,0.04490666666666666,1,6,0.9214340447403908,HV vs Sepsis-IGKV1-17
IGKV1-17,CM,CS,12,20,0.9757659433483663,0.3291804652449953,0.831190705699835,ns,0.04789333333333332,2,3,0.7252482624205249,CM vs CS-IGKV1-17
IGKV1-17,CM,CC,12,18,0.5107303998746826,0.6095398508465457,0.831190705699835,ns,0.049386666666666655,2,4,0.7842710127143748,CM vs CC-IGKV1-17
IGKV1-17,CM,CComm,12,12,1.5295646453919438,0.12612452622350248,0.831190705699835,ns,0.05087999999999999,2,5,0.6022369635473173,CM vs CComm-IGKV1-17
IGKV1-17,CM,Sepsis,12,14,0.9919135786266844,0.321239684683775,0.831190705699835,ns,0.05386666666666666,2,6,0.6841513799734287,CM vs Sepsis-IGKV1-17
