"","name.unique","pseudobulk","new_anno"
"1","B.NAIVE","B.NAIVE","Näive B"
"2","B.NAIVE.IFN.resp","B.NAIVE","Näive B"
"3","PB","PB","Plasmablast"
"4","B.SW.MEM","B.MEM","Switched memory B"
"5","B.TRANSIT.CD10","B.INT","Näive B"
"6","B.cyc","B.INT","Cycling B"
"7","B.mitohi","B.INT","Activated B"
"8","B.UNSW.MEM","B.MEM","Unswitched memory B"
"9","B.int.2.early.act/sw","B.INT","Switched memory B"
"10","PB.cyc","PB","Plasmablast"
"11","B.NAIVE.CD1c","B.NAIVE","Näive B"
"12","B.int.1.early.act/sw","B.INT","Intermediate B"
"13","B.int.2.unsw","B.INT","Unswitched memory B"
"14","B.int.2.IFN.resp","B.INT","IFN resp. intermediate B"
"15","B.SW.MEM.IFN.resp","B.MEM","Switched memory B"
"16","B.NAIVE.IgDlo","B.NAIVE","Näive B"
"17","B.int.1.IFN.resp","B.INT","IFN resp. intermediate B"
"18","B.int.1.early.act","B.INT","Intermediate B"
"19","B.int.2.early.act.IFN.resp","B.INT","IFN resp. intermediate B"
"20","PB.IFN.resp","PB","Plasmablast"
"21","PB.mitohi","PB","Plasmablast"
